id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_lawn,sqft_lawn_prct,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_lawn15,sqft_lawn15_prct
7129300520,10/13/2014,221900,3,1,"1,180.00","5,650.00","4,470.00",79.12,1,,NONE,Average,7 Average,1180,0,1955,0,98178,47.5112,-122.257,"1,340.00","5,650.00","4,310.00",76.28
6414100192,12/9/2014,538000,3,2.25,"2,570.00","7,242.00","4,672.00",64.51,2,NO,NONE,Average,7 Average,2170,400,1951,1991,98125,47.721,-122.319,"1,690.00","7,639.00","5,949.00",77.88
5631500400,2/25/2015,180000,2,1,770.00,"10,000.00","9,230.00",92.30,1,NO,NONE,Average,6 Low Average,770,0,1933,,98028,47.7379,-122.233,"2,720.00","8,062.00","5,342.00",66.26
2487200875,12/9/2014,604000,4,3,"1,960.00","5,000.00","3,040.00",60.80,1,NO,NONE,Very Good,7 Average,1050,910,1965,0,98136,47.5208,-122.393,"1,360.00","5,000.00","3,640.00",72.80
1954400510,2/18/2015,510000,3,2,"1,680.00","8,080.00","6,400.00",79.21,1,NO,NONE,Average,8 Good,1680,0,1987,0,98074,47.6168,-122.045,"1,800.00","7,503.00","5,703.00",76.01
7237550310,5/12/2014,1230000,4,4.5,"5,420.00","101,930.00","96,510.00",94.68,1,NO,NONE,Average,11 Excellent,3890,1530,2001,0,98053,47.6561,-122.005,"4,760.00","101,930.00","97,170.00",95.33
1321400060,6/27/2014,257500,3,2.25,"1,715.00","6,819.00","5,104.00",74.85,2,NO,NONE,Average,7 Average,1715,?,1995,0,98003,47.3097,-122.327,"2,238.00","6,819.00","4,581.00",67.18
2008000270,1/15/2015,291850,3,1.5,"1,060.00","9,711.00","8,651.00",89.08,1,NO,,Average,7 Average,1060,0,1963,0,98198,47.4095,-122.315,"1,650.00","9,711.00","8,061.00",83.01
2414600126,4/15/2015,229500,3,1,"1,780.00","7,470.00","5,690.00",76.17,1,NO,NONE,Average,7 Average,1050,730,1960,0,98146,47.5123,-122.337,"1,780.00","8,113.00","6,333.00",78.06
3793500160,3/12/2015,323000,3,2.5,"1,890.00","6,560.00","4,670.00",71.19,2,NO,NONE,Average,7 Average,1890,0,2003,0,98038,47.3684,-122.031,"2,390.00","7,570.00","5,180.00",68.43
